Distance (mm),T (C),P (atm),Ar,He,Ne,N2,CH4(1),CO2(2),H2O(3),H2(4),CO(5),C2H6(6),site(7),HX(8),CO2X(9),OX(10),OCX(11),HOX(12),H2OX(13),CX(14),CHX(15),CH2X(16),CH3X(17),CH4X(18),HOCXO(19),CXHO(20),HCOOX(21),CXOH(22),HCXOH(23),H2CXOH(24),C2H6X(25),C2H5X(26),CHCH3X(27),CXCH3(28),CXCH2(29),CXHCH2(30),CH3CXO(31)
71.00000000000001,319.85,1.184307920059215,0.2000003147847052,0.0,0.0,0.0,7.869619228148917e-07,0.15956829012087523,0.0004327486688362212,0.63956668471803,0.00043117474563043596,2.5385584919488088e-20,0.0013368436489444014,0.8481046907503093,4.0742263941792385e-08,3.24881644603843e-05,0.15052585570812188,8.629544390865177e-12,3.478466899456261e-08,2.6739639930470557e-14,3.160698263401047e-10,6.571789503123552e-15,1.2143209650780958e-16,1.5371541532941808e-08,4.668995057830659e-12,2.2959284323801937e-08,9.787590237126057e-14,7.177685342936127e-09,2.5691862480535474e-14,3.6616059548563507e-10,1.6359056380851528e-22,3.251577330632084e-29,7.253725893360382e-29,3.843319859328538e-22,3.8435874685050127e-25,1.4268882929345934e-30,1.4164548432193574e-30
71.50000000000001,319.85,1.1843079200592155,0.20000032187637254,0.0,0.0,0.0,8.046910919955104e-07,0.15956343037191284,0.0004376318203017086,0.6395617888015599,0.0004360224387611221,2.6792972880302096e-20,0.001334123859124408,0.8463760831687827,4.065813657500275e-08,3.206939601520362e-05,0.1522576010138929,8.602266810263164e-12,3.510558030154825e-08,2.7098862699638025e-14,3.189829522031358e-10,6.632335520938138e-15,1.238849443976253e-16,1.568583873750467e-08,4.659336549796851e-12,2.3170090204528507e-08,9.76734380654973e-14,7.243601442438526e-09,2.5927705941647378e-14,3.6950059536376997e-10,1.723079528781274e-22,3.424586087748167e-29,7.501287227176318e-29,3.9744993850282405e-22,3.9747909226239907e-25,1.4755905937046616e-30,1.4637366385317694e-30
72.00000000000001,319.85,1.1843079200592155,0.20000032901824333,0.0,0.0,0.0,8.225457915514459e-07,0.1595585957436488,0.00044249001676184736,0.639556917749642,0.00044084492591257027,2.825556443586589e-20,0.0013314804728608402,0.8446959768495537,4.057634900415138e-08,3.16626577935031e-05,0.1539407566222646,8.575390232760549e-12,3.542492988585317e-08,2.7455986672713624e-14,3.218816367611512e-10,6.692580967315347e-15,1.2635275065958846e-16,1.6002086795126994e-08,4.649948821728544e-12,2.3379849614047184e-08,9.747659820379994e-14,7.309190020924935e-09,2.6162375880965964e-14,3.728239795399446e-10,1.8135307663082942e-22,3.60408653353114e-29,7.751324355604737e-29,4.1069913000469277e-22,4.1073077577354353e-25,1.5247801380257124e-30,1.5114532453019757e-30
72.5,319.85,1.1843079200592157,0.2000003362102098,0.0,0.0,0.0,8.405255848161751e-07,0.1595537856861299,0.0004473238076473334,0.6395520710137075,0.00044564275672062486,2.977471408870094e-20,0.0013289100430209282,0.8430621837671572,4.0496795793347906e-08,3.1267436870574104e-05,0.155577514518808,8.548907912951136e-12,3.574274777626022e-08,2.7811066199013615e-14,3.24766155658959e-10,6.752531576428055e-15,1.288354747999575e-16,1.632028014438942e-08,4.6408195781949546e-12,2.3588582456304566e-08,9.728512936400176e-14,7.374457326849289e-09,2.6395894675154183e-14,3.76131063073269e-10,1.9073362075683217e-22,3.7902308066456184e-29,8.00382781306292e-29,4.240790589714631e-22,4.241132967601639e-25,1.5744550641291036e-30,1.5596030525816097e-30
73.0,319.85,1.1843079200592157,0.20000034345199091,0.0,0.0,0.0,8.586300357426515e-07,0.1595489996690238,0.0004521337226292292,0.6395472480635268,0.0004504164627934427,3.135179273233529e-20,0.0013264092989853104,0.8414726279244618,4.0419376906377075e-08,3.088324705901017e-05,0.1571699544575171,8.522812556566988e-12,3.605906221993947e-08,2.8164154199774446e-14,3.2763676960247685e-10,6.8121927716279764e-15,1.3133307220943903e-16,1.664041270729108e-08,4.631937159038927e-12,2.3796307548837664e-08,9.709879110109628e-14,7.439409266680363e-09,2.6628283475981008e-14,3.794221435113313e-10,2.004573546945364e-22,3.9831727076623826e-29,8.258789523000908e-29,4.375892975342857e-22,4.376262282087428e-25,1.624613783489949e-30,1.608184693549102e-30
73.5,319.85,1.1843079200592155,0.2000003507434327,0.0,0.0,0.0,8.768587085616995e-07,0.15954423718120062,0.00045692027227867393,0.6395424483890094,0.00045516655537008695,3.2988183407867243e-20,0.001323975142888044,0.8399253430112043,4.0343997590937336e-08,3.0509627751330358e-05,0.1587200463071813,8.497096490238596e-12,3.637389997369869e-08,2.851530183822382e-14,3.3049372477016664e-10,6.87156967438789e-15,1.33845495030203e-16,1.696247800198117e-08,4.623290525173272e-12,2.4003042657042657e-08,9.691735567420638e-14,7.504051415848822e-09,2.6859562251038012e-14,3.8269750154631294e-10,2.1053210417848765e-22,4.183067154969447e-29,8.516202477326447e-29,4.512294744157275e-22,4.512691996844465e-25,1.6752549176872176e-30,1.6571969838693293e-30
74.0,319.85,1.1843079200592157,0.20000035808443972,0.0,0.0,0.0,8.95211167603774e-07,0.15953949772999035,0.0004616839487536785,0.6395376714989558,0.00045989352669271435,3.4685195111766113e-20,0.0013216046427595755,0.8384184680171858,4.0270568168461914e-08,3.0146142480646543e-05,0.1602296544464818,8.471751782319673e-12,3.6687286497330056e-08,2.886455851354159e-14,3.3333725507842704e-10,6.930667151154865e-15,1.3637269275634883e-16,1.7286469217403537e-08,4.614869233159761e-12,2.420880465781818e-08,9.674060753743654e-14,7.568389070124068e-09,2.7089749966650112e-14,3.859574036536763e-10,2.2096520422119267e-22,4.390059358825905e-29,8.776060416473925e-29,4.649992580494227e-22,4.6504188046529225e-25,1.7263772357329175e-30,1.7066388811983018e-30
74.5,319.85,1.1843079200592155,0.20000036547478395,0.0,0.0,0.0,9.13686977279151e-07,0.1595347808403366,0.0004664252264924921,0.6395329169188004,0.00046459785260928664,3.644443408733881e-20,0.0013192950243732934,0.8369502420437084,4.0199003784486015e-08,2.9792377439829417e-05,0.16170054296219594,8.446770333699936e-12,3.699924609221984e-08,2.921197197695016e-14,3.3616758482693844e-10,6.989489868255026e-15,1.3891461267878367e-16,1.761237926771161e-08,4.606663405442283e-12,2.4413609731467283e-08,9.656834273833421e-14,7.632427305804416e-09,2.7318864802931827e-14,3.892021051771728e-10,2.317658642021846e-22,4.604331627188456e-29,9.038358147027003e-29,4.788983731756846e-22,4.789439961474614e-25,1.7779797156857887e-30,1.7565094628935037e-30
75.0,319.85,1.1843079200592155,0.20000037291427988,0.0,0.0,0.0,9.322857020920159e-07,0.1595300860542299,0.00047114456292073314,0.6395281841913394,0.00046927999152806583,3.826724932009181e-20,0.0013170436645058088,0.8355190000562134,4.0129224202213175e-08,2.9447940336185377e-05,0.16313437990444182,8.422143968488458e-12,3.730980206050698e-08,2.955758820028714e-14,3.389849288445393e-10,7.048042295188417e-15,1.4147120039031205e-16,1.7940200858152e-08,4.598663705830841e-12,2.461747337484064e-08,9.640036842524224e-14,7.696170983993155e-09,2.75469241701272e-14,3.924318505961e-10,2.4294163387342295e-22,4.8260334255849906e-29,9.303090693015578e-29,4.929265562151256e-22,4.929752839965877e-25,1.8300613789693962e-30,1.806807886003428e-30
75.5,319.85,1.184307920059216,0.2000003804027617,0.0,0.0,0.0,9.510069067180016e-07,0.15952541292998906,0.00047584239915164184,0.639523472875841,0.0004739403853497154,4.015508684605059e-20,0.0013148480830483885,0.8341231678587996,4.0061153561102136e-08,2.911245914161682e-05,0.16453274232129997,8.397864497967076e-12,3.761897681317261e-08,2.990145141452728e-14,3.4178949364753834e-10,7.106328728575406e-15,1.440424001433164e-16,1.826992652975338e-08,4.590861310774225e-12,2.4820410484793452e-08,9.623650226493416e-14,7.75962477684274e-09,2.7773944802002887e-14,3.9564687486735824e-10,2.5450065989268475e-22,5.055326035828127e-29,9.570253603255736e-29,5.070835713327328e-22,5.071355090236579e-25,1.882621350012261e-30,1.857533371054346e-30
