Distance (mm),T (C),P (atm),Ar,He,Ne,N2,CH4(1),CO2(2),H2O(3),H2(4),CO(5),C2H6(6),site(7),HX(8),CO2X(9),OX(10),OCX(11),HOX(12),H2OX(13),CX(14),CHX(15),CH2X(16),CH3X(17),CH4X(18),HOCXO(19),CXHO(20),HCOOX(21),CXOH(22),HCXOH(23),H2CXOH(24),C2H6X(25),C2H5X(26),CHCH3X(27),CXCH3(28),CXCH2(29),CXHCH2(30),CH3CXO(31)
82.5,319.85,1.0000000000000002,0.2000000018877678,0.0,0.0,0.0,4.719419083509206e-09,0.15997261219693593,2.7394032697376266e-05,0.6399726025693214,2.7384593858356175e-05,5.638950311748593e-20,0.0033079327905684887,0.799723670799754,6.611550438086664e-08,0.00018924961088736929,0.19677904842044083,1.8831389569787615e-12,3.5640461186323677e-09,2.87853629390241e-19,4.65199741918224e-15,1.9082950734482095e-20,1.6452695218509346e-17,1.4919911871127584e-10,8.875342870748306e-11,2.841280862118866e-08,2.6090701406824965e-14,4.387681352935342e-11,1.443766619518032e-16,1.899091067106455e-12,5.880004704142616e-22,1.687512513425426e-27,1.9409354853850087e-29,1.6339696795763509e-22,1.7775625828008804e-25,5.979593623200686e-32,6.067640790961624e-28
83.0,319.85,1.0000000000000002,0.200000001918624,0.0,0.0,0.0,4.7965596483118825e-09,0.15997233209975334,2.7674231705537064e-05,0.6399723223147721,2.766463858540357e-05,5.800613934606891e-20,0.0033033013956607514,0.7986038125950861,6.602282128639654e-08,0.00018707180853102045,0.19790571563004325,1.889526642297468e-12,3.5954594945359205e-09,2.9063374521349912e-19,4.696741615744611e-15,1.9322927849052974e-20,1.66979740294417e-17,1.5142550088779323e-10,8.865541784696907e-11,2.8663174305696665e-08,2.6054120806485686e-14,4.4930833286888244e-11,1.4784487811177957e-16,1.9447106052739586e-12,6.040108375007521e-22,1.7334029081462615e-27,1.9934750995217448e-29,1.6772588388806084e-22,1.8246563849569656e-25,6.138012638307977e-32,6.220977905900806e-28
83.5,319.85,1.0,0.20000000194970755,0.0,0.0,0.0,4.874268547485852e-09,0.15997205145324248,2.795498079217937e-05,0.639972041509735,2.7945232254162213e-05,5.965433434284749e-20,0.0032987438097708726,0.7975017985536982,6.593161350219216e-08,0.00018493812254948867,0.19901442074901263,1.895852755121394e-12,3.626923307595254e-09,2.934213691906534e-19,4.741602212101226e-15,1.9564152199592753e-20,1.6944851587346437e-17,1.536664091847707e-10,8.855884666636994e-11,2.8913941152561696e-08,2.6018122402266463e-14,4.6000534719597593e-11,1.513646931337841e-16,1.9910088395549773e-12,6.203160290304836e-22,1.7801371202692073e-27,2.0469756075419073e-29,1.721319454661198e-22,1.8725894608706127e-25,6.299254843890386e-32,6.376885082781355e-28
84.0,319.85,0.9999999999999999,0.20000000198101886,0.0,0.0,0.0,4.952546681176813e-09,0.15997177026269827,2.823627466356829e-05,0.6399717601595034,2.8226369569339626e-05,6.133443994034964e-20,0.003294257912577893,0.796417116061373,6.58418386450655e-08,0.00018284727957580614,0.20010567978530694,1.9021191872864577e-12,3.6584366664480127e-09,2.962164470853223e-19,4.7865782763583294e-15,1.9806623391335434e-20,1.719332988192895e-17,1.5592186176351335e-10,8.846367360436675e-11,2.916510205160682e-08,2.5982689468562658e-14,4.708602299324705e-11,1.5493645302676183e-16,2.037990320754538e-12,6.369190787281705e-22,1.8277238157416163e-27,2.1014468061744624e-29,1.7661591104319374e-22,1.9213700611060513e-25,6.463347992319164e-32,6.5353852702303e-28
84.5,319.85,1.0,0.20000000201255816,0.0,0.0,0.0,5.031394922355078e-09,0.15997148853322618,2.8518108215270976e-05,0.6399714782691809,2.8508045424587515e-05,6.304680883568538e-20,0.003289841668424847,0.7953492729724624,6.575345602417075e-08,0.00018079805335579098,0.20117998814653137,1.908327747460969e-12,3.689998718427416e-09,2.9901892712792707e-19,4.831668916616762e-15,2.005034103646596e-20,1.7443410802023255e-17,1.5819187586460022e-10,8.836985881842148e-11,2.941665020089755e-08,2.5947805947615354e-14,4.818740330363351e-11,1.5856050389808353e-16,2.0856596009670484e-12,6.538230248235817e-22,1.876171673380599e-27,2.156898506675198e-29,1.8117854008318645e-22,1.9710064483393348e-25,6.630319876679062e-32,6.696501449408073e-28
85.0,319.85,0.9999999999999999,0.2000000020443258,0.0,0.0,0.0,5.110814118104606e-09,0.15997120626975214,2.8800476522652035e-05,0.6399711958436917,2.8790254893554326e-05,6.479179452912047e-20,0.0032854931221756737,0.7942977966082423,6.566642655818907e-08,0.00017878926265467088,0.2022378216478281,1.9144801655811983e-12,3.7216086475809338e-09,3.0182875989665336e-19,4.8768732790388386e-15,2.0295304754582312e-20,1.7695096141698194e-17,1.604764678635758e-10,8.82773640975064e-11,2.9668579091519052e-08,2.5913456416829867e-14,4.930478087956948e-11,1.622371919633633e-16,2.1340212337054096e-12,6.710309094735014e-22,1.9254893832463154e-27,2.2133405330895008e-29,1.8582059306811999e-22,2.0215068963313842e-25,6.800198327313496e-32,6.860256634555462e-28
85.5,319.85,1.0,0.20000000207632224,0.0,0.0,0.0,5.190805090844554e-09,0.15997092347703093,2.9083374831939978e-05,0.6399709128877888,2.9072993220941763e-05,6.656975139135901e-20,0.0032812103953035977,0.7932622328112376,6.558071269713952e-08,0.0001768197692731866,0.20327963746344346,1.920578097024332e-12,3.75326567280371e-09,3.0464589820026796e-19,4.922190545945916e-15,2.0541514172954092e-20,1.794838760596441e-17,1.6277565332301067e-10,8.818615277982345e-11,2.9920882492676213e-08,2.587962605792061e-14,5.04382609842216e-11,1.6596686355086302e-16,2.183079773958968e-12,6.885457795244443e-22,1.975685648793968e-27,2.2707827245739168e-29,1.9054283163401828e-22,2.0728796914062583e-25,6.973011216797371e-32,7.026673873386981e-28
86.0,319.85,1.0,0.20000000210854763,0.0,0.0,0.0,5.2713686394862165e-09,0.1599706401596549,2.936679855182685e-05,0.6399706294060633,2.9356255813724416e-05,6.838103463346169e-20,0.0032769916821960305,0.7922421450518787,6.549627834851832e-08,0.00017488847616562394,0.20430587502564798,1.9266231265359976e-12,3.784969046077653e-09,3.0747029696409033e-19,4.967619933967407e-15,2.0788968926628895e-20,1.8203286816102747e-17,1.6508944704111198e-10,8.809618967519356e-11,3.017355443725747e-08,2.584630062776315e-14,5.1587948915318986e-11,1.697498651021753e-16,2.2328397782024534e-12,7.063706862543955e-22,2.0267691861471915e-27,2.3292349346208327e-29,1.953460185290328e-22,2.1251331319956595e-25,7.148786458404625e-32,7.195776247365286e-28
86.50000000000001,319.85,1.0000000000000004,0.2000000021410024,0.0,0.0,0.0,5.352505540529838e-09,0.15997035632206189,2.9650743245567067e-05,0.6399703454029512,2.964003823340069e-05,7.022600033464529e-20,0.0032728352466512007,0.7912371135815239,6.541308880727046e-08,0.0001729943256481387,0.2053169568770076,1.9326167719439486e-12,3.816718050796409e-09,3.1030191312587625e-19,5.013160692349899e-15,2.1037668658559627e-20,1.8459795314578502e-17,1.6741786309655733e-10,8.800744099158875e-11,3.04265892086321e-08,2.58134664307593e-14,5.2753950007776394e-11,1.7358654318085422e-16,2.2833058045095123e-12,7.245086857118449e-22,2.078748725055495e-27,2.3887070320949605e-29,2.002309176755925e-22,2.1782755293150845e-25,7.327552008382707e-32,7.367586872048413e-28
87.00000000000001,319.85,0.9999999999999999,0.20000000217368685,0.0,0.0,0.0,5.434216549105866e-09,0.1599700719685425,2.9935204623543824e-05,0.6399700608827413,2.9924336189326113e-05,7.210500543167886e-20,0.003268739418555733,0.7902467346292175,6.533111068937901e-08,0.00017113629769227432,0.2063132894786627,1.9385604876707777e-12,3.848512000171021e-09,3.1314070554204568e-19,5.058812101433071e-15,2.128761301978477e-20,1.8717914569571687e-17,1.697609148898197e-10,8.791987426557301e-11,3.06799813287219e-08,2.578111029262946e-14,5.393636963919938e-11,1.7747724449052794e-16,2.3344824127909306e-12,7.4296283865047145e-22,2.1316330087124513e-27,2.4492089010474992e-29,2.0519829416376095e-22,2.2323152072915974e-25,7.509335865709427e-32,7.542128897546728e-28
