H2,,Ar,,CO2,,H20,,CH4,,CO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-9.152312469357739,63.10531296959889,-8.81312305932342,19.984972835510348,-9.224261738152897,15.84099578608884,-3.040325216538651,1.1574528956190164,-8.81312305932342,0.2153981147739188,-9.200168872909515,0.11923883383599154
-7.252851773165551,62.79256733325627,-6.325734052405077,19.984972835510348,-6.677486033181409,15.472296073671643,-0.1039725990085536,2.1577707779447053,-6.325734052405077,0.32445014239026193,-6.712779865991174,0.15671118770645087
-5.4714792419482725,62.52218754415032,-3.8383450454867347,20.000551696598393,-4.089596460326973,15.548459394546555,2.342439759583085,2.886307299091939,-3.994894003964113,0.4241500979017019,-4.2253908590728315,0.1999747235387055
-3.637343913614547,62.08424844911956,-1.350956038568393,20.0628671409506,-1.501706887472535,15.300928601703092,4.822291224056219,3.32805456016645,-1.350956038568393,0.5425541976229766,-1.7380018521544898,0.27100186701134454
-1.8283337267648427,61.70343184474499,1.1364329683499488,20.140761446390854,0.7972435583156301,15.015316148422144,7.342342914903792,5.076002774245751,1.1364329683499488,0.8385525582959446,0.749387154763852,0.3298788836229587
-0.19519953030330406,61.26549274971423,3.6238219752682905,20.218655751831108,3.3298578199052145,14.65544445728817,9.95535762924225,7.235232921049601,3.6238219752682905,1.1812875022330616,3.2367761616821937,0.5552807697831401
1.5660728877267527,60.530516703271296,6.111210982186634,20.34328664053551,5.859959567346394,14.215601279235557,12.487971890831837,8.948907640735186,6.111210982186634,1.742126501402879,3.8020918450727272,-0.013617693522904872
3.4479459848801266,59.84377742671581,8.598599989104976,20.59254841794433,8.44784914020083,13.16835561720545,14.905010501594912,10.597843537677079,8.598599989104976,2.4743329725412906,5.7241651686005355,0.8056642251902932
5.282081313213851,58.80922565149822,11.085988996023318,20.90412563970534,10.83473758118308,12.102069124956657,17.349686767990413,12.376257080106356,11.085988996023318,3.346749193472121,8.211554175518877,1.148025276461297
